,Tweet,Username
0,With Party colleagues at the National Executive meeting in Hyderabad. @BJP4India https://t.co/pbDFz3zn7f,narendramodi
1,Landed in the dynamic city of Hyderabad to take part in the @BJP4India National Executive Meeting. During this meeting we will discuss a wide range of issues aimed at further strengthening the Party. https://t.co/fu0z0Xrt5Z,narendramodi
2,??????? ???? ????????? ?? ?????????? @BJP4India ?????? ????????????? ?????????? ????????????? ???????? ????????????. ? ????????? ???????? ????? ??????? ????????? ??????????? ??? ??????? ??????????. https://t.co/wOrG9GvabO,narendramodi
3,"We mark #5YearsofGST, a major tax reform that furthered ‘Ease of Doing Business’ and fulfilled the vision of ‘One Nation, One Tax.’ https://t.co/fL3kJbz4ty",narendramodi
4,Thank you His Excellency @naftalibennett for being a true friend of India. I cherish our fruitful interactions and wish you success in your new role.,narendramodi
5,???? ?? ???? @naftalibennett ?? ????? ???? ??? ?? ????. ??? ????? ?? ?????? ????? ???????? ???? ????? ?? ????? ??? ??????? ????.,narendramodi
6,Warm wishes and heartiest congratulations to His Excellency @yairlapid for assuming the premiership of Israel. I look forward to continue furthering our strategic partnership as we celebrate 30 years of full diplomatic relations.,narendramodi
7,????? ???? ???????? ?????? ????? @yairlapid ?? ?????? ?????? ??? ??????. ??? ???? ?????? ????? ?? ??????? ????????? ???? ???? ???? ?????? 30 ??? ?? ????? ?????????? ?????.,narendramodi
8,"Greetings to everyone, especially the vibrant Kutchi community spread across the world, on the auspicious occasion of Ashadhi Bij. May this coming year bring peace, happiness and good health in everyone’s lives.",narendramodi
9,"????? ????? ??? , ?? ????? ????? ????,
?????? ????? ????? ????,
?? ? ????? ????, ?? ? ? ????? ??????!
 ?????? ?? ?????? ?? ????? ???
???? ????? ???? ?? ?????? ??...
????? ??? ????? ?? ?? ???????..",narendramodi
10,"A Chartered Accountant has an important role in our economy. On CA Day, best wishes to all Chartered Accountants. May they keep working hard in furthering growth and transparency in the economy. https://t.co/TDtyxefIYP",narendramodi
11,Doctors Day greetings to all hardworking doctors who play a key role in saving lives and making our planet healthier. https://t.co/5yFw2nNofV,narendramodi
12,"Greetings on the special day of Rath Yatra. We pray to Lord Jagannath for his constant blessings. May we all be blessed with good health and happiness. 

Sharing what I had spoken about the Rath Yatra and the importance of a Yatra in our culture during the recent #MannKiBaat. https://t.co/RnREC22ACQ",narendramodi
13,The PSLV C53 mission has achieved a new milestone by launching two payloads of Indian Start-ups in Space. Congratulations @INSPACeIND and @isro for enabling this venture. Confident that many more indian companies will reach Space in near future.,narendramodi
14,"I have had the opportunity to work closely with @MVenkaiahNaidu Garu closely over the last several years. I have always admired his zeal and energy. As our VP, he has played a key role in raising the standards of Parliamentary proceedings and debates. Praying for his long life.",narendramodi
15,"Birthday greetings to our respected VP Shri @MVenkaiahNaidu Garu. For decades, he has served the nation in an outstanding manner. He is an inspiration for our citizens. His passion towards agriculture, rural development and social welfare is remarkable. @VPSecretariat",narendramodi
16,????????????? ????????????? ?????? ??? ???????????? ?? @Dev_Fadnavis ????? ??????? ????. ????????? ???????? ???????????????? ?? ???????????  ????. ??????? ????? ??? ????????? ?? ????????? ???? ????? ???. ??????????????? ????? ???????? ?? ???? ????? ????? ???? ??? ?????? ???.,narendramodi
17,"??????????????? ???????????????? ??? ???????????? ?? @mieknathshinde ?? ????? ??????? ????. ??????????  ???? ???????? ????????? ?????? ??????, ????????????? ??? ????????? ????? ???. ????????????? ?????? ?????? ???????? ????? ?? ????? ??? ??????? ??? ?????.",narendramodi
18,Congratulations to Shri @Dev_Fadnavis Ji on taking oath as Maharashtra Deputy CM. He is an inspiration for every BJP Karyakarta. His experience and expertise will be an asset for the Government. I am certain he will further strengthen Maharashtra’s growth trajectory.,narendramodi
19,"I would like to congratulate Shri @mieknathshinde Ji on taking oath as Maharashtra CM. A grassroots level leader, he brings with him rich political, legislative and administrative experience. I am confident that he will work towards taking Maharashtra to greater heights.",narendramodi
20,"Spoke to Manipur CM Shri @NBirenSingh Ji and reviewed the situation due to a tragic landslide. Assured all possible support from the Centre. I pray for the safety of all those affected.

My thoughts are with the bereaved families. May the injured recover soon.",narendramodi
21,"From easy access to credit and better markets, the NDA Government is committed to help the MSME sector in every possible way. https://t.co/tkG85Tbal5",narendramodi
22,In the last 8 years the popularity of Khadi is a great case study on how MSMEs can lead to prosperity and make our culture more popular. https://t.co/3rTRhi4GOu,narendramodi
23,I call upon MSMEs to leverage the reforms happening in India and the growing global interest in our nation. https://t.co/AnJLgBPs31,narendramodi
24,"The Government of India’s endeavour is - Maximum Support to Micro, Small and Medium Enterprises! https://t.co/H4H8bgSJ8F",narendramodi
25,Our MSME sector is thriving in semi-urban and rural areas as well. This interest in entrepreneurship augurs well for national progress. https://t.co/A1QGQySzM3,narendramodi
26,Our dream of an Aatmanirbhar Bharat will be powered by a vibrant MSME sector. https://t.co/hB5PouWR4L,narendramodi
27,Speaking at inauguration of Bosch Smart Campus in Bengaluru. https://t.co/T7Sc1vtfHz,narendramodi
28,Empowering MSME sector for a self-reliant India! Addressing 'Udyami Bharat' programme. https://t.co/DHSZxkTnMS,narendramodi
29,"Birthday greetings to Minister Shri Bhupender Yadav Ji, who is spearheading India’s efforts towards sustainable development. He is also at the forefront of many labour welfare efforts. Praying for his long and healthy life. @byadavbjp",narendramodi
30,"At 10:30 AM tomorrow, 30th June, will be taking part in the Udyami Bharat’ programme in which key initiatives to boost the MSME sector will be launched. These initiatives will further encourage value creation among our youngsters. https://t.co/FHcMRIDxky",narendramodi
31,"During this month’s #MannKiBaat, we covered diverse topics ranging from India’s strides in space, collective efforts towards ‘waste to wealth’, accomplishments of our athletes and more. The NaMo App has a Quiz based on the episode. Do take part in it... https://t.co/AZMyuAUXgx",narendramodi
32,Glad to see interest in the PM Sangrahalaya. It is important our youth knows more about all those who served India and contributed to our nation’s progress. I urge more people to visit the museum in the coming days. https://t.co/da909xUVnv,narendramodi
33,"Today’s Cabinet decision on computerization of Primary Agriculture Credit Societies (PACS) will benefit crores of farmers, particularly small and marginal farmers. It will also enhance transparency and lead to better service delivery. https://t.co/QZLWgAgGDX",narendramodi
34,"??? ????? ????? ?? ???? ?? ????? ??? ???? ???? ??????? ????.???? ???? ????  ??? ??? ???? ????? ?????????. ????? ??????? ???????????? ???? ??????? ?? ????? ????? ????? ????? ???? ?? ???? ?? ?????. @MohamedBinZayed https://t.co/vNMUH4BHrc",narendramodi
35,"Sheikh Khalifa bin Zayed Al Nahyan was a widely respected statesman who worked tirelessly for the people. In Abu Dhabi, expressed condolences on his demise to His Highness Sheikh Mohamed bin Zayed Al Nahyan. @MohamedBinZayed https://t.co/2zo3fqDUVU",narendramodi
36,"I am touched by the special gesture of my brother, His Highness Sheikh Mohamed bin Zayed Al Nahyan, of coming to welcome me at Abu Dhabi airport. My gratitude to him. 
@MohamedBinZayed https://t.co/8hdHHGiR0z",narendramodi
37,????? ????? ???? ?? ??? ???? ????? ????? ???? ?? ???? ?? ????? ?????? ??????? ?? ?? ????? ??????? ???????. ??????? ??. @MohamedBinZayed https://t.co/NES1a0eE3S,narendramodi
38,Tributes to our former PM Shri PV Narasimha Rao Ji on his birth anniversary. India is grateful to him for his rich contribution to national progress. He also made a mark as a great scholar and intellectual.,narendramodi
